iter	MultiClass
0	0.9946985026
1	0.9100529915
2	0.8477633756
3	0.7844647038
4	0.7303527061
5	0.6798293383
6	0.6432044713
7	0.6028873864
8	0.5699167233
9	0.537072887
10	0.5088152727
11	0.4833990448
12	0.4601336607
13	0.4407135073
14	0.4231380777
15	0.4028471325
16	0.385806847
17	0.3727094221
18	0.3584097958
19	0.3457751373
20	0.3338420503
21	0.3241325001
22	0.3146879607
23	0.3057518128
24	0.2968687764
25	0.2887369268
26	0.2799650739
27	0.2737118364
28	0.2678194042
29	0.2613297879
30	0.2556642331
31	0.2517409294
32	0.2479375074
33	0.2436331036
34	0.2394597051
35	0.2352010246
36	0.2306658984
37	0.2267588166
38	0.2236717936
39	0.2198283644
40	0.2157577549
41	0.2122159323
42	0.2085756686
43	0.2056387834
44	0.2024627076
45	0.1990371391
46	0.1965568947
47	0.1933538485
48	0.1918604114
49	0.1889419559
50	0.1865806869
51	0.1845038013
52	0.1815110686
53	0.1796240204
54	0.1774502438
55	0.1757847558
56	0.1738379212
57	0.1723000524
58	0.1701076949
59	0.168608995
60	0.1663220656
61	0.1647958319
62	0.1633961159
63	0.1622376296
64	0.1605716894
65	0.1593199896
66	0.1587082044
67	0.1576170576
68	0.1563099502
69	0.1539872638
70	0.1527869289
71	0.1514435991
72	0.1500951061
73	0.1490545011
74	0.147508497
75	0.1459449347
76	0.1448727081
77	0.1440263904
78	0.1427475521
79	0.1414417999
80	0.1401366658
81	0.1388469424
82	0.1370487465
83	0.135866229
84	0.1351260399
85	0.1339786214
86	0.1324878609
87	0.1317884808
88	0.1309332075
89	0.1298935262
90	0.1291512239
91	0.1283443463
92	0.1271370175
93	0.1264447959
94	0.1257501709
95	0.1251684831
96	0.1245200174
97	0.1236161206
98	0.1229178869
99	0.1220161367
100	0.1210606935
101	0.1203577116
102	0.1192108361
103	0.1187921231
104	0.1184202146
105	0.1177599169
106	0.1171849198
107	0.1164041254
108	0.1157126459
109	0.1149661843
110	0.1145915474
111	0.1137496604
112	0.1130142597
113	0.1124622584
114	0.1112715991
115	0.110573318
116	0.1100291283
117	0.1095302101
118	0.1089571446
119	0.1084178488
120	0.1078581599
121	0.107198974
122	0.1062088529
123	0.1053334786
124	0.1047024799
125	0.1040412043
126	0.1031782517
127	0.1024845419
128	0.1019167424
129	0.1013524523
130	0.1008340974
131	0.1001516929
132	0.09969201503
133	0.09933243883
134	0.09852658963
135	0.09809897231
136	0.09747284785
137	0.09682902546
138	0.09624195222
139	0.09578890128
140	0.09515092337
141	0.09485863516
142	0.09433682494
143	0.09378611021
144	0.09341919763
145	0.09297986391
146	0.092444466
147	0.09181409264
148	0.09146406446
149	0.09115230885
150	0.0906744838
151	0.08995223787
152	0.0893779042
153	0.08875259398
154	0.0882875877
155	0.08788947384
156	0.08745351205
157	0.08694123807
158	0.0865568878
159	0.08597852822
160	0.08548127479
161	0.08513247131
162	0.08485083724
163	0.08448310113
164	0.08397778995
165	0.08371758441
166	0.0830783246
167	0.0826324223
168	0.08211481971
169	0.08185382285
170	0.08130205724
171	0.08067692664
172	0.08049005539
173	0.08014368139
174	0.07989038674
175	0.07935138549
176	0.07905899576
177	0.07883704398
178	0.07828795515
179	0.07782567805
180	0.07761363419
181	0.07692238279
182	0.07663755158
183	0.07605599342
184	0.0755850466
185	0.0753278085
186	0.07501635088
187	0.07465253789
188	0.0744170993
189	0.07384042375
190	0.07362054931
191	0.07348544819
192	0.07331530683
193	0.07298117656
194	0.07253152231
195	0.07229803513
196	0.07204798542
197	0.07167042245
198	0.07116918164
199	0.07094753922
200	0.07068284793
201	0.07014230214
202	0.06994939415
203	0.06969791121
204	0.06931839353
205	0.06894606464
206	0.06866038292
207	0.06828147074
208	0.06796939144
209	0.06755297498
210	0.06712664535
211	0.06692387509
212	0.06657841722
213	0.06622935817
214	0.06573195742
215	0.06528877423
216	0.06507504864
217	0.06489961047
218	0.06449742108
219	0.06420670495
220	0.06395062728
221	0.06366644158
222	0.06343262426
223	0.0631862345
224	0.06305085094
225	0.06288372013
226	0.06251772449
227	0.06223127029
228	0.06205449011
229	0.06189172754
230	0.06167931968
231	0.06139360875
232	0.06098089804
233	0.0605836823
234	0.06047197594
235	0.06025417639
236	0.06007048876
237	0.05973537957
238	0.05948147286
239	0.05922764311
240	0.05903628441
241	0.0586488728
242	0.05820928199
243	0.0578946747
244	0.05767493562
245	0.05742039153
246	0.05724160962
247	0.05696963311
248	0.05686040622
249	0.05668713982
250	0.05649086917
251	0.0562339332
252	0.05585032285
253	0.05569647297
254	0.05556472585
255	0.05524707164
256	0.05505759609
257	0.05469024104
258	0.05451925631
259	0.05434921639
260	0.05428285609
261	0.05414519831
262	0.05403907816
263	0.05385322862
264	0.0537199949
