iter	Passed	Remaining
413	3194	4522
414	3201	4513
415	3208	4504
416	3216	4496
417	3223	4488
418	3230	4479
419	3237	4471
420	3246	4464
421	3254	4457
422	3261	4448
423	3268	4440
424	3275	4431
425	3282	4423
426	3290	4415
427	3297	4407
428	3304	4398
429	3312	4390
430	3319	4381
431	3326	4373
432	3333	4364
433	3340	4356
434	3349	4350
435	3356	4342
436	3364	4333
437	3371	4325
438	3378	4317
439	3385	4308
440	3392	4300
441	3399	4292
442	3406	4283
443	3414	4276
444	3422	4268
445	3429	4259
446	3436	4251
447	3443	4243
448	3452	4236
449	3459	4227
450	3466	4219
451	3473	4210
452	3480	4202
453	3487	4194
454	3494	4186
455	3502	4177
456	3510	4170
457	3518	4163
458	3526	4156
459	3534	4149
460	3541	4140
461	3550	4134
462	3559	4127
463	3566	4120
464	3573	4111
465	3581	4103
466	3588	4095
467	3595	4087
468	3602	4079
469	3610	4070
470	3617	4062
471	3624	4054
472	3631	4046
473	3639	4038
474	3646	4030
475	3654	4022
476	3662	4015
477	3669	4007
478	3676	3998
479	3683	3990
480	3690	3981
481	3697	3974
482	3704	3965
483	3712	3957
484	3719	3949
485	3727	3942
486	3734	3933
487	3741	3925
488	3749	3917
489	3756	3910
490	3764	3902
491	3771	3894
492	3778	3885
493	3785	3877
494	3793	3869
495	3800	3861
496	3807	3853
497	3814	3845
498	3821	3837
499	3829	3829
500	3836	3821
501	3845	3814
502	3852	3806
503	3861	3799
504	3868	3792
505	3876	3784
506	3884	3777
507	3891	3768
508	3899	3761
509	3906	3753
510	3915	3746
511	3922	3738
512	3929	3730
513	3936	3722
514	3943	3714
515	3951	3706
516	3958	3698
517	3966	3690
518	3973	3682
519	3980	3674
520	3987	3666
521	3995	3658
522	4002	3650
523	4009	3642
524	4016	3634
525	4024	3626
526	4031	3618
527	4038	3609
528	4045	3601
529	4052	3593
530	4059	3585
531	4067	3578
532	4074	3570
533	4081	3562
534	4089	3554
535	4096	3546
536	4103	3538
537	4110	3530
538	4117	3521
539	4125	3513
540	4132	3505
541	4139	3497
542	4146	3489
543	4153	3481
544	4161	3474
545	4169	3466
546	4176	3458
547	4183	3450
548	4190	3442
549	4197	3434
550	4205	3426
551	4213	3419
552	4221	3412
553	4229	3404
554	4236	3397
555	4245	3389
556	4252	3381
557	4260	3374
558	4269	3367
559	4277	3361
560	4285	3353
561	4294	3346
562	4301	3339
563	4309	3331
564	4317	3324
565	4325	3316
566	4332	3308
567	4340	3301
568	4348	3293
569	4356	3286
570	4363	3278
571	4374	3273
572	4382	3265
573	4389	3257
574	4397	3250
575	4404	3242
576	4413	3235
577	4421	3227
578	4428	3220
579	4436	3212
580	4443	3204
581	4451	3196
582	4459	3189
583	4466	3181
584	4477	3176
585	4485	3168
586	4493	3161
587	4500	3153
588	4508	3146
589	4515	3138
590	4524	3130
591	4531	3123
592	4539	3115
593	4547	3107
594	4555	3100
595	4562	3092
596	4571	3085
597	4579	3078
598	4587	3070
599	4594	3063
600	4603	3056
601	4612	3049
602	4620	3041
603	4627	3033
604	4635	3026
605	4642	3018
606	4650	3010
607	4658	3003
608	4666	2995
609	4674	2988
610	4682	2981
611	4690	2973
612	4698	2966
613	4706	2958
614	4714	2951
615	4722	2943
616	4730	2936
617	4738	2929
618	4746	2921
619	4753	2913
620	4761	2905
621	4769	2898
622	4777	2891
623	4786	2884
624	4794	2876
625	4801	2868
626	4808	2860
627	4816	2852
628	4823	2845
629	4831	2837
630	4839	2829
631	4846	2821
632	4854	2814
633	4862	2806
634	4870	2799
635	4878	2791
636	4887	2784
637	4894	2776
638	4901	2769
639	4909	2761
640	4917	2754
641	4924	2746
642	4932	2738
643	4939	2730
644	4947	2723
645	4955	2715
646	4963	2707
647	4970	2700
648	4979	2692
649	4986	2685
650	4994	2677
651	5001	2669
652	5008	2661
653	5016	2653
654	5023	2645
655	5030	2637
656	5037	2630
657	5046	2622
658	5053	2615
659	5060	2607
660	5068	2599
661	5076	2591
662	5086	2585
663	5093	2577
664	5103	2571
665	5113	2564
666	5121	2556
667	5128	2549
668	5136	2541
669	5143	2533
670	5150	2525
671	5158	2517
672	5165	2509
673	5172	2501
674	5180	2494
675	5188	2486
676	5195	2478
677	5202	2470
678	5210	2463
679	5217	2455
680	5225	2447
681	5233	2440
682	5240	2432
683	5248	2424
684	5255	2416
685	5263	2409
686	5270	2401
687	5277	2393
688	5286	2386
689	5293	2378
690	5300	2370
691	5308	2362
692	5315	2354
693	5322	2346
694	5329	2339
695	5337	2331
696	5344	2323
697	5351	2315
698	5358	2307
699	5367	2300
700	5376	2293
701	5384	2285
702	5394	2278
703	5408	2273
704	5418	2267
705	5428	2260
706	5438	2253
707	5449	2247
708	5459	2240
709	5470	2234
710	5480	2227
711	5493	2221
712	5503	2215
713	5514	2208
714	5524	2202
715	5535	2195
716	5544	2188
717	5553	2181
718	5564	2174
719	5573	2167
720	5582	2160
721	5596	2154
722	5606	2147
723	5616	2140
724	5627	2134
725	5636	2127
726	5647	2120
727	5657	2113
728	5667	2106
729	5677	2099
730	5686	2092
731	5698	2086
732	5708	2079
733	5717	2072
734	5726	2064
735	5734	2056
736	5741	2049
737	5749	2041
738	5756	2033
739	5764	2025
740	5771	2017
741	5778	2009
742	5786	2001
743	5794	1993
744	5802	1986
745	5810	1978
746	5817	1970
747	5824	1962
748	5832	1954
749	5840	1946
750	5848	1938
751	5855	1931
752	5862	1923
753	5870	1915
754	5877	1907
755	5884	1899
756	5891	1891
757	5899	1883
758	5906	1875
759	5913	1867
760	5920	1859
761	5927	1851
762	5934	1843
763	5941	1835
764	5948	1827
765	5956	1819
766	5963	1811
767	5970	1803
768	5977	1795
769	5985	1787
770	5992	1779
